region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
березняговское поселение;526.0;251.0;47.7;;;;;;
село новая усмань;19939.0;8998.0;45.1;29270.0;13436.0;45.9;22476.0;10342.0;46.0
шилово;;;;7777.0;3818.0;49.1;6822.0;3360.0;49.3
пузевское поселение;1663.0;774.0;46.5;;;;;;
1го отделения совхоза;3827.0;1810.0;47.3;3742.0;1779.0;47.5;3484.0;1650.0;47.4
красненское поселение;3626.0;2125.0;58.6;;;;;;
ломовское поселение;391.0;133.0;34.0;;;;;;
русскогвоздевское поселение;1647.0;866.0;52.6;;;;;;
аннинское городское поселение анна;15316.0;6911.0;45.1;18032.0;8200.0;45.5;19416.0;8937.0;46.0
краснознаменское поселение;1306.0;620.0;47.5;;;;;;
дмитриевское поселение;637.0;294.0;46.2;;;;;;
братковское поселение;1023.0;505.0;49.4;;;;;;
нижний кисляй;3156.0;1458.0;46.2;3967.0;1813.0;45.7;4456.0;2036.0;45.7
мамоновское поселение;560.0;268.0;47.9;;;;;;
верхнехавский район;23058.0;10791.0;46.8;25156.0;11647.0;46.3;26656.0;12264.0;46.0
ольховатский район;21565.0;10029.0;46.5;24218.0;11128.0;45.9;25841.0;11825.0;45.8
слобода;3919.0;1970.0;50.3;3686.0;1707.0;46.3;3568.0;1644.0;46.1
карачунское поселение;520.0;276.0;53.1;;;;;;
воробьевское поселение;6308.0;2895.0;45.9;;;;;;
воронцовское поселение;5108.0;2378.0;46.6;;;;;;
первоэртильское поселение;963.0;448.0;46.5;11387.0;5218.0;45.8;12885.0;5993.0;46.5
округ город нововоронеж нововоронеж;30658.0;14193.0;46.3;889680.0;397431.0;44.7;928410.0;419137.0;45.1
радченское поселение;2344.0;1134.0;48.4;;;;;;
село верхняя хава;7344.0;3378.0;46.0;8154.0;3739.0;45.9;7980.0;3677.0;46.1
садовое;3650.0;1686.0;46.2;4298.0;1897.0;44.1;5081.0;2282.0;44.9
старотойденское поселение;414.0;184.0;44.4;;;;;;
первомайское поселение;1111.0;553.0;49.8;;;;;;
краснолиманское поселение;1599.0;801.0;50.1;;;;;;
слободское поселение;4128.0;2075.0;50.3;;;;;;
жилинское поселение;1166.0;544.0;46.7;;;;;;
городское поселение город россошь россошь;60879.0;28236.0;46.4;62865.0;28916.0;46.0;62923.0;29149.0;46.3
краснореченское поселение;197.0;88.0;44.7;;;;;;
еланьколеновское городское поселение;3274.0;1495.0;45.7;;;;5344.0;2438.0;45.6
поселок первое мая;;;;4900.0;2336.0;47.7;;;
стрелица рабочий поселок;4008.0;1812.0;45.2;3937.0;1757.0;44.6;4828.0;2171.0;45.0
краснянское поселение;3075.0;1453.0;47.3;;;;;;
березовское поселение;646.0;297.0;46.0;;;;;;
новобогородицкое поселение;651.0;310.0;47.6;;;;;;
старохворостанское поселение;1758.0;834.0;47.4;;;;;;
ерышевское поселение;767.0;353.0;46.0;;;;;;
новоольшанское поселение;1142.0;538.0;47.1;;;;;;
рамонское городское поселение;9571.0;4417.0;46.1;;;;;;
чистополянское поселение;458.0;170.0;37.1;;;;;;
подгоренский район;23123.0;10838.0;46.9;27340.0;12674.0;46.4;29563.0;13592.0;46.0
нижнебайгорское поселение;695.0;317.0;45.6;;;;;;
новоусманский район;86930.0;40251.0;46.3;73034.0;33651.0;46.1;64275.0;29567.0;46.0
урывское поселение;1630.0;747.0;45.8;;;;;;
песковское поселение;934.0;454.0;48.6;;;;;;
углянец;4151.0;1825.0;44.0;3658.0;1666.0;45.5;3698.0;1690.0;45.7
бондаревское поселение;1072.0;529.0;49.3;;;;;;
чернавское поселение;622.0;292.0;46.9;;;;;;
перлевское поселение;1013.0;468.0;46.2;;;;;;
верхнелуговатское поселение;456.0;246.0;53.9;;;;;;
каменский район;17087.0;8090.0;47.3;20612.0;9677.0;46.9;21953.0;10100.0;46.0
зайцевское поселение;1220.0;591.0;48.4;;;;;;
михайловское поселение;1407.0;705.0;50.1;;;;;;
нижнемамонское 1е поселение;3472.0;1672.0;48.2;;;;;;
горожанское поселение;1988.0;968.0;48.7;;;;;;
липовское поселение;666.0;309.0;46.4;;;;;;
городское поселение город острогожск;32520.0;15280.0;47.0;33842.0;16701.0;49.3;35746.0;17272.0;48.3
село митрофановка;4838.0;2250.0;46.5;5395.0;2463.0;45.7;5722.0;2665.0;46.6
краснолесный рабочий поселок;;;;5405.0;2340.0;43.3;5379.0;2380.0;44.2
покровское поселение;1455.0;669.0;46.0;;;;;;
шрамовское поселение;643.0;307.0;47.7;;;;;;
советское поселение;313.0;150.0;47.9;;;;;;
бобров;20871.0;9616.0;46.1;19738.0;8862.0;44.9;20806.0;9535.0;45.8
селявинское поселение;948.0;455.0;48.0;;;;;;
калач;17624.0;8178.0;46.4;20046.0;9141.0;45.6;20950.0;9614.0;45.9
коминтерновский;;;;273243.0;121788.0;44.6;241417.0;108679.0;45.0
каменностепное поселение;4531.0;2103.0;46.4;;;;;;
твердохлебовское поселение;940.0;441.0;46.9;;;;;;
подклетное;;;;3386.0;1574.0;46.5;3113.0;1438.0;46.2
анновское поселение;612.0;305.0;49.8;;;;;;
большеприваловское поселение;600.0;308.0;51.3;;;;;;
богучар;38087.0;19134.0;50.2;11811.0;5422.0;45.9;13756.0;6703.0;48.7
семилукское поселение;4513.0;2203.0;48.8;;;;;;
латненское городское поселение рабочий поселок латная;7285.0;3322.0;45.6;7528.0;3439.0;45.7;7333.0;3314.0;45.2
кантемировка;10715.0;4928.0;46.0;11943.0;5400.0;45.2;12949.0;5963.0;46.0
марковское поселение;1194.0;586.0;49.1;;;;;;
село ямное;6062.0;2885.0;47.6;;;;;;
дальнеполубянское поселение;438.0;210.0;47.9;;;;;;
костенское поселение;1397.0;662.0;47.4;;;;;;
новокриушанское поселение;1864.0;885.0;47.5;;;;;;
медвеженское поселение;622.0;292.0;46.9;;;;;;
комсомольское поселение;1920.0;931.0;48.5;;;;;;
мосоловское поселение;637.0;290.0;45.5;;;;;;
татаринское поселение;787.0;376.0;47.8;;;;;;
хохольский район;29639.0;13899.0;46.9;29814.0;13582.0;45.6;32889.0;14898.0;45.3
рождественскохавское поселение;2632.0;1225.0;46.5;;;;;;
самодуровское поселение;546.0;260.0;47.6;;;;;;
подгоренский;5732.0;2502.0;43.6;6136.0;2706.0;44.1;6745.0;3051.0;45.2
рамонский район;38471.0;18142.0;47.2;32027.0;15038.0;47.0;33230.0;15771.0;47.5
евстратовское поселение;1357.0;681.0;50.2;;;;;;
репьевский район;15304.0;7077.0;46.2;16027.0;7317.0;45.7;17884.0;8241.0;46.1
панино;5995.0;2691.0;44.9;6672.0;2985.0;44.7;7264.0;3354.0;46.2
новотроицкое поселение;770.0;367.0;47.7;;;;;;
малосамовецкое поселение;205.0;110.0;53.7;;;;;;
ступинское поселение;903.0;443.0;49.1;;;;;;
тресоруковское поселение;2662.0;1264.0;47.5;;;;;;
село средний икорец;4411.0;2066.0;46.8;4946.0;2332.0;47.1;3319.0;1544.0;46.5
бугаевское поселение;784.0;380.0;48.5;;;;;;
шукавское поселение;487.0;246.0;50.5;;;;;;
сомовское поселение;395.0;168.0;42.5;;;;;;
воронежское поселение;1846.0;841.0;45.6;889680.0;397431.0;44.7;928410.0;419137.0;45.1
мастюгинское поселение;604.0;282.0;46.7;;;;;;
криничанское поселение;1136.0;540.0;47.5;;;;;;
рабочий поселок перелешинский;2577.0;1202.0;46.6;3122.0;1409.0;45.1;3303.0;1506.0;45.6
село дракино;3080.0;1437.0;46.7;3253.0;1501.0;46.1;3114.0;1436.0;46.1
михневское поселение;408.0;214.0;52.5;;;;;;
караяшниковское поселение;1775.0;840.0;47.3;;;;;;
каширское;4333.0;1988.0;45.9;4342.0;1991.0;45.9;4628.0;2150.0;46.5
прочие сельские населенные пункты;209.0;105.0;50.2;9071.0;4176.0;46.0;7919.0;3621.0;45.7
карабочий поселокенковское поселение;1100.0;530.0;48.2;;;;;;
новомакаровское поселение;476.0;240.0;50.4;;;;;;
рабочий поселок стрелица;4008.0;1812.0;45.2;3937.0;1757.0;44.6;4828.0;2171.0;45.0
рамоньское поселение;581.0;275.0;47.3;;;;8039.0;3645.0;45.3
приреченское поселение;639.0;305.0;47.7;;;;;;
солдатское поселение;858.0;399.0;46.5;;;;;;
никольское поселение;817.0;387.0;47.4;;;;5383.0;2523.0;46.9
коршевское поселение;2010.0;934.0;46.5;;;;;;
киселинское поселение;811.0;394.0;48.6;;;;;;
левобережный;;;;169426.0;75241.0;44.4;173121.0;77966.0;45.0
рабочий поселок рамонь;8500.0;3861.0;45.4;8354.0;3776.0;45.2;8039.0;3645.0;45.3
панино рабочий поселок;5995.0;2691.0;44.9;6672.0;2985.0;44.7;7264.0;3354.0;46.2
русскожуравское поселение;1472.0;713.0;48.4;;;;;;
хреновое;4825.0;2229.0;46.2;4875.0;2160.0;44.3;5553.0;2454.0;44.2
титаревское поселение;893.0;453.0;50.7;;;;;;
городское поселение город богучар богучар;14370.0;7605.0;52.9;11811.0;5422.0;45.9;13756.0;6703.0;48.7
васильевское поселение;1032.0;475.0;46.0;;;;;;
новопокровское поселение;1304.0;607.0;46.5;;;;;;
воленское поселение;7703.0;3461.0;44.9;;;;;;
болдыревское поселение;546.0;252.0;46.2;;;;;;
бычковское поселение;1102.0;510.0;46.3;;;;;;
орловское поселение;5030.0;2390.0;47.5;;;;;;
осиковское поселение;770.0;378.0;49.1;;;;;;
русскобуйловское поселение;2416.0;1183.0;49.0;;;;;;
колбинское поселение;1135.0;521.0;45.9;;;;;;
скупопотуданское поселение;256.0;120.0;46.9;;;;;;
девица;5219.0;2524.0;48.4;4562.0;2125.0;46.6;4451.0;2028.0;45.6
абрамовское поселение;3537.0;1684.0;47.6;;;;;;
митрофановка;4838.0;2250.0;46.5;5395.0;2463.0;45.7;5722.0;2665.0;46.6
придонской рабочий поселок;;;;18300.0;8253.0;45.1;17133.0;7904.0;46.1
верхняя хава;7344.0;3378.0;46.0;8154.0;3739.0;45.9;7980.0;3677.0;46.1
залуженское поселение;4999.0;2402.0;48.0;;;;;;
верхнетойденское поселение;1105.0;544.0;49.2;;;;;;
коренновское поселение;506.0;239.0;47.2;;;;;;
рабочий поселок давыдовка;5167.0;2390.0;46.3;5633.0;2584.0;45.9;5923.0;2730.0;46.1
петровское поселение;820.0;386.0;47.1;;;;;;
меловатское поселение;1850.0;838.0;45.3;;;;;;
копанищенское поселение;941.0;437.0;46.4;;;;;;
тишанское поселение;3140.0;1468.0;46.8;;;;;;
верхнекарачанское поселение;2773.0;1304.0;47.0;;;;;;
верхнемазовское поселение;482.0;246.0;51.0;;;;;;
давыдовка рабочий поселок;5167.0;2390.0;46.3;5633.0;2584.0;45.9;5923.0;2730.0;46.1
сагуновское поселение;1494.0;701.0;46.9;;;;;;
перелешинский рабочий поселок;2577.0;1202.0;46.6;3122.0;1409.0;45.1;3303.0;1506.0;45.6
борисоглебский округ;70407.0;33025.0;46.9;78721.0;36069.0;45.8;69392.0;31568.0;45.5
перелешинский;2577.0;1202.0;46.6;3122.0;1409.0;45.1;3303.0;1506.0;45.6
нововоронеж;30658.0;14193.0;46.3;32635.0;15209.0;46.6;36961.0;17335.0;46.9
терновский район;17761.0;8367.0;47.1;22125.0;10240.0;46.3;25696.0;11856.0;46.1
новокурлакское поселение;1090.0;519.0;47.6;;;;;;
хохолтростянское поселение;499.0;238.0;47.7;;;;4944.0;2282.0;46.2
новогольеланское поселение;550.0;258.0;46.9;;;;;;
коленовское поселение;5534.0;2614.0;47.2;;;;;;
осадчевское поселение;429.0;211.0;49.2;;;;;;
городское поселение город калач;18102.0;8419.0;46.5;20046.0;9141.0;45.6;20950.0;9614.0;45.9
казинское поселение;1666.0;741.0;44.5;;;;;;
пригородный;3437.0;1560.0;45.4;4163.0;1890.0;45.4;4031.0;1874.0;46.5
село верхний мамон;7505.0;3346.0;44.6;8561.0;4026.0;47.0;8394.0;3919.0;46.7
истобинское поселение;1475.0;702.0;47.6;;;;;;
аннинский район;36149.0;16713.0;46.2;45385.0;20817.0;45.9;52747.0;24183.0;45.8
пугачевское поселение;653.0;301.0;46.1;;;;;;
большеалабухское поселение;688.0;324.0;47.1;;;;;;
запрудское поселение;706.0;335.0;47.5;;;;;;
грибановское городское поселение;14960.0;7118.0;47.6;;;;;;
поворинский район;31119.0;14366.0;46.2;34030.0;15520.0;45.6;17475.0;8100.0;46.4
хохольское городское поселение;12695.0;5791.0;45.6;;;;4944.0;2282.0;46.2
битюгматреновское поселение;795.0;370.0;46.5;;;;;;
хлебенское поселение;921.0;425.0;46.1;;;;;;
новожизненское поселение;645.0;329.0;51.0;;;;;;
новогремяченское поселение;1719.0;784.0;45.6;;;;;;
новобелянское поселение;1108.0;531.0;47.9;;;;;;
рогачевское поселение;2601.0;1238.0;47.6;;;;;;
бутурлиновское городское поселение;24519.0;11344.0;46.3;;;;;;
семеноалександровское поселение;1797.0;844.0;47.0;;;;;;
краснофлотское поселение;932.0;448.0;48.1;;;;;;
село хохол;4215.0;1953.0;46.3;4512.0;2063.0;45.7;4944.0;2282.0;46.2
село девица;5219.0;2524.0;48.4;4562.0;2125.0;46.6;4451.0;2028.0;45.6
борщевопесковское поселение;531.0;234.0;44.1;;;;;;
воля;7697.0;3459.0;44.9;7803.0;3508.0;45.0;7979.0;3580.0;44.9
петропавловский район;16573.0;7798.0;47.1;20042.0;9237.0;46.1;23414.0;10701.0;45.7
яблоченское поселение;801.0;394.0;49.2;;;;;;
петропавловка;4819.0;2247.0;46.6;5250.0;2431.0;46.3;5546.0;2577.0;46.5
самовецкое поселение;803.0;364.0;45.3;;;;;;
новохоперский;36148.0;16643.0;46.0;41128.0;18872.0;45.9;7774.0;3480.0;44.8
щучинскопесковское поселение;592.0;283.0;47.8;;;;;;
бутурлиновка;24397.0;11280.0;46.2;27208.0;12420.0;45.6;28627.0;13124.0;45.8
спасское поселение;1387.0;675.0;48.7;;;;;;
село садовое;3650.0;1686.0;46.2;4298.0;1897.0;44.1;5081.0;2282.0;44.9
село нижнедевицк;5460.0;2435.0;44.6;5839.0;2676.0;45.8;6409.0;2957.0;46.1
нижнекатуховское поселение;605.0;296.0;48.9;;;;;;
репьевское поселение;5493.0;2464.0;44.9;;;;;;
семилуки;27938.0;13109.0;46.9;26023.0;12497.0;48.0;25559.0;12511.0;48.9
верхнеикорецкое поселение;1401.0;689.0;49.2;;;;;;
кантемировское городское поселение;10730.0;4935.0;46.0;;;;;;
шишовское поселение;1097.0;512.0;46.7;;;;;;
белогорьевское поселение;2141.0;1042.0;48.7;;;;;;
городское поселение город павловск павловск;22384.0;10196.0;45.6;25126.0;11630.0;46.3;26365.0;12189.0;46.2
заброды;8626.0;3995.0;46.3;9222.0;4364.0;47.3;9038.0;4260.0;47.1
кантемировка рабочий поселок;10715.0;4928.0;46.0;11943.0;5400.0;45.2;12949.0;5963.0;46.0
гремячье;3441.0;1610.0;46.8;3373.0;1531.0;45.4;3430.0;1533.0;44.7
россошанское поселение;1209.0;539.0;44.6;;;;;;
пригородное поселение;3930.0;1803.0;45.9;;;;;;
александродонское поселение;2787.0;1344.0;48.2;;;;;;
еланьколеновский рабочий поселок;3274.0;1495.0;45.7;3916.0;1775.0;45.3;4170.0;1925.0;46.2
платавское поселение;771.0;341.0;44.2;;;;;;
шапошниковское поселение;1556.0;728.0;46.8;;;;;;
отрадное;9709.0;4603.0;47.4;4581.0;2145.0;46.8;3260.0;1565.0;48.0
озерское поселение;644.0;289.0;44.9;;;;;;
курбатовское поселение;2031.0;941.0;46.3;;;;;;
поворино;16417.0;7408.0;45.1;17692.0;7967.0;45.0;18342.0;8232.0;44.9
клеповское поселение;1901.0;881.0;46.3;;;;;;
хвощеватовское поселение;671.0;335.0;49.9;;;;;;
сторожевское 1е поселение;737.0;373.0;50.6;;;;;;
центральный;;;;79372.0;35809.0;45.1;78350.0;34940.0;44.6
пасековское поселение;1034.0;505.0;48.8;;;;;;
ливенское поселение;821.0;380.0;46.3;;;;;;
старомеловатское поселение;2120.0;1001.0;47.2;;;;;;
хохол;499.0;238.0;47.7;29814.0;13582.0;45.6;4944.0;2282.0;46.2
сухоберезовское поселение;1090.0;547.0;50.2;;;;;;
село масловка;;;;8447.0;3867.0;45.8;7623.0;3517.0;46.1
каменноверховское поселение;505.0;237.0;46.9;;;;;;
сериковское поселение;454.0;216.0;47.6;;;;;;
песковское поселение село пески;6625.0;3073.0;46.4;6953.0;3234.0;46.5;7331.0;3387.0;46.2
смаглеевское поселение;1287.0;582.0;45.2;;;;;;
павловский район;51144.0;23813.0;46.6;57081.0;26482.0;46.4;59355.0;27273.0;45.9
нижнекаменское поселение;1896.0;961.0;50.7;;;;;;
эртильский район;20865.0;9648.0;46.2;25728.0;12001.0;46.6;31499.0;14721.0;46.7
таловский район;35173.0;16284.0;46.3;42603.0;19489.0;45.7;47221.0;21574.0;45.7
усманское 1е поселение село новая усмань;16601.0;7640.0;46.0;29270.0;13436.0;45.9;22476.0;10342.0;46.0
латненское поселение;1612.0;767.0;47.6;;;;;;
советский;;;;150716.0;65961.0;43.8;148253.0;65812.0;44.4
ивановское поселение;884.0;429.0;48.5;;;;;;
староведугское поселение;1654.0;794.0;48.0;;;;;;
левороссошанское поселение;1034.0;486.0;47.0;;;;;;
архангельское поселение;2069.0;924.0;44.7;;;;;;
сомово рабочий поселок;;;;13605.0;6170.0;45.4;13922.0;6326.0;45.4
есиповское поселение;1572.0;744.0;47.3;;;;;;
борисоглебский район;60687.0;28393.0;46.8;65585.0;29863.0;45.5;13880.0;6463.0;46.6
кривополянское поселение;473.0;231.0;48.8;;;;;;
октябрьское поселение;398.0;186.0;46.7;;;;;;
колодежанское поселение;519.0;252.0;48.6;;;;;;
дегтяренское поселение;638.0;301.0;47.2;;;;;;
село верхняя тишанка;;;;3250.0;1474.0;45.4;3653.0;1597.0;43.7
юдановское поселение;1194.0;587.0;49.2;;;;;;
краснолипьевское поселение;1579.0;775.0;49.1;;;;;;
ясеновское поселение;732.0;374.0;51.1;;;;;;
городское поселение город поворино поворино;16417.0;7408.0;45.1;17692.0;7967.0;45.0;18342.0;8232.0;44.9
павловское поселение;390.0;146.0;37.4;25126.0;11630.0;46.3;26365.0;12189.0;46.2
большедобринское поселение;392.0;196.0;50.0;;;;;;
усманское 2е поселение;21537.0;9759.0;45.3;;;;;;
семеновское поселение;371.0;185.0;49.9;;;;;;
поселок воля;7697.0;3459.0;44.9;7803.0;3508.0;45.0;7979.0;3580.0;44.9
каширское поселение;4333.0;1988.0;45.9;;;;4628.0;2150.0;46.5
добровольское поселение;627.0;330.0;52.6;;;;;;
ярковское поселение;1639.0;789.0;48.1;;;;;;
хохольский;29639.0;13899.0;46.9;29814.0;13582.0;45.6;7885.0;3579.0;45.4
рабочий поселок хохольский;7954.0;3582.0;45.0;7510.0;3412.0;45.4;7885.0;3579.0;45.4
подгоренское городское поселение;9647.0;4383.0;45.4;;;;;;
землянское поселение;5125.0;2426.0;47.3;;;;3155.0;1439.0;45.6
марьевское поселение;2630.0;1224.0;46.5;;;;;;
почепское поселение;2175.0;1062.0;48.8;;;;;;
синявское поселение;1239.0;587.0;47.4;;;;;;
ольховатка;3276.0;1450.0;44.3;3806.0;1673.0;44.0;4424.0;1945.0;44.0
гороховское поселение;1084.0;537.0;49.5;;;;;;
солонецкое поселение;3297.0;1590.0;48.2;;;;;;
сторожевское 2е поселение;502.0;247.0;49.2;;;;;;
высокинское поселение;2358.0;1110.0;47.1;;;;;;
рабочий поселок кантемировка;10715.0;4928.0;46.0;11943.0;5400.0;45.2;12949.0;5963.0;46.0
село терновка;4977.0;2213.0;44.5;5671.0;2596.0;45.8;4769.0;2185.0;45.8
дьяченковское поселение;3733.0;1819.0;48.7;;;;;;
таловское городское поселение рабочий поселок таловая;11136.0;4936.0;44.3;12219.0;5494.0;45.0;13554.0;6247.0;46.1
митрофановское поселение;5265.0;2459.0;46.7;;;;;;
село углянец;4151.0;1825.0;44.0;3658.0;1666.0;45.5;3698.0;1690.0;45.7
девицкое поселение;676.0;303.0;44.8;;;;;;
першинское поселение;860.0;405.0;47.1;;;;;;
данковское поселение;1467.0;701.0;47.8;;;;;;
рубашевское поселение;975.0;471.0;48.3;;;;;;
поселок перелешино;;;;3964.0;2772.0;69.9;3848.0;2734.0;71.0
землянск;5125.0;2426.0;47.3;3043.0;1363.0;44.8;3155.0;1439.0;45.6
козловка;;;;3137.0;1420.0;45.3;3390.0;1491.0;44.0
краснобратское поселение;1886.0;910.0;48.3;;;;;;
петренковское поселение;965.0;440.0;45.6;;;;;;
